Frequency_Hz,Cluster,FFT_low,FFT_mid,FFT_high,RadialMean
1,2,2301436926.0694,3820269921.73609,6651782502.36326,107.047895894227
2,2,2305091902.7177,3821171436.17101,6657563088.33643,107.112624915883
4,2,2287827484.96764,3802029801.36717,6625198379.67123,106.232028740597
6,1,2385210218.21902,3800420083.06582,6749612148.62088,107.413299576709
8,2,2245363842.20518,3756943490.98086,6555806776.64655,104.298687657865
10,3,2337560530.60662,3750844379.81733,6675381600.05184,103.333077193276
12,1,2391912199.27567,3802272180.88905,6749021264.18176,107.363762796526
14,1,2394665498.78435,3802110470.7657,6750543892.74304,107.313282537099
16,2,2302433721.78605,3816085333.62422,6646612439.36223,106.832637127017
18,1,2396251807.80171,3801044324.37345,6745938257.41452,107.128348911865
20,1,2396894405.25884,3800128188.01486,6746307048.37168,107.028859296663
22,1,2399092674.61908,3797949959.46599,6740770280.84627,107.035449813526
24,1,2399474347.26705,3800629593.69601,6744229306.6915,107.060356537286
32,2,2292019872.01916,3804762672.82584,6628771740.02525,106.311333729381
64,2,2302922985.05713,3815660848.42267,6644924070.72763,106.787207678143
128,2,2303874943.31885,3818531237.44436,6649176143.53249,106.853144550179
256,2,2290503531.16461,3807019745.12509,6632514421.0479,106.410278511587
512,2,2277450193.64107,3790062339.36965,6606636991.11208,105.685580702684
1024,2,2225082782.38272,3721904762.6686,6504130120.64245,102.550860399699
2048,2,2256609641.66986,3761935757.90434,6564282602.30918,104.385890226696
4096,2,2224838503.2879,3721260535.16635,6504524674.46077,102.620851413229
8192,3,2303765356.76981,3774995159.61293,6727581145.21834,106.117932575169
16384,3,2315360207.02302,3787978022.91407,6748310972.77778,107.089336726077
22000,3,2375434334.50834,3800914469.82439,6753792052.4714,107.802500447968
