Frequency_Hz,Mean_SSIM
1,0.965340146539129
2,0.960252587099866
4,0.958459631811273
6,0.94414382111129
8,0.952473826810185
10,0.902795037178829
12,0.942998307998262
14,0.942501208413409
16,0.960740774760248
18,0.941452998223884
20,0.940720450480176
22,0.940494499759595
24,0.940465116053833
32,0.957750854975166
64,0.960080546698921
128,0.95967963456794
256,0.960284764711594
512,0.955950356126747
1024,0.942987839409423
2048,0.952104215747239
4096,0.946842632274179
8192,0.942774472845885
16384,0.94386803266629
22000,0.946984827591805
